id,name,bus,technology,fuel,capacity_mw,units,unit_mw,min_load_mw,mali_share,sn_mva,cos_phi,inertia_h_s,xdpp_pu,xdp_pu,xd_pu,droop_pct,ramp_mw_per_min,commissioned,operator,latitude,longitude,in_service,source,confidence,note
GEN_MANANTALI,Manantali,BUS_MANANTALI_225,hydro,water,200.0,5,40.0,20.0,0.52,235.0,0.85,3.5,0.25,0.32,1.05,4.0,20.0,2001,SOGEM / OMVS,13.190,-10.460,TRUE,omvs,reported,Reservoir plant shared between Mali Senegal and Mauritania
GEN_GOUINA,Gouina,BUS_GOUINA_225,hydro,water,140.0,4,35.0,14.0,0.52,165.0,0.85,3.2,0.26,0.33,1.05,4.0,18.0,2022,SOGEM / OMVS,14.000,-11.090,TRUE,omvs,reported,Run-of-river scheme downstream of Manantali
GEN_FELOU,Felou,BUS_FELOU_225,hydro,water,60.0,3,20.0,6.0,0.52,71.0,0.85,3.0,0.27,0.34,1.05,4.0,10.0,2013,SOGEM / OMVS,14.360,-11.510,TRUE,omvs,reported,Run-of-river scheme near Kayes
GEN_SELINGUE,Selingue,BUS_SELINGUE_150,hydro,water,44.0,4,11.0,4.4,1.00,52.0,0.85,3.0,0.28,0.35,1.05,4.0,8.0,1982,EDM-SA,11.640,-8.230,TRUE,edm-sa,reported,Reservoir plant on the Sankarani
GEN_SOTUBA,Sotuba,BUS_SOTUBA_150,hydro,water,5.7,3,1.9,0.6,1.00,6.7,0.85,2.5,0.30,0.38,1.05,4.0,2.0,1966,EDM-SA,12.660,-7.930,TRUE,edm-sa,reported,Run-of-river plant inside Bamako
GEN_AEMK_KAYES,Albatros Energy Mali - Kayes,BUS_KAYES_33,thermal,hfo,90.0,9,10.0,27.0,1.00,106.0,0.85,1.8,0.16,0.22,2.10,4.0,25.0,2018,Albatros Energy Mali,14.440,-11.440,TRUE,edm-sa,reported,Independent power producer on heavy fuel oil
GEN_BALINGUE,Balingue,BUS_BALINGUE_150,thermal,hfo,65.0,7,9.3,19.5,1.00,76.0,0.85,1.8,0.16,0.22,2.10,4.0,18.0,2003,EDM-SA,12.600,-7.960,TRUE,edm-sa,estimated,Bamako heavy fuel oil station
GEN_DARSALAM,Darsalam / Sirakoro diesel,BUS_SIRAKORO_33,thermal,diesel,40.0,8,5.0,12.0,1.00,47.0,0.85,1.5,0.17,0.24,2.20,4.0,20.0,2008,EDM-SA,12.550,-7.900,TRUE,edm-sa,estimated,Bamako distillate units used at peak
GEN_RENTAL_BKO,Rental capacity Bamako,BUS_SIRAKORO_33,thermal,diesel,50.0,10,5.0,10.0,1.00,59.0,0.85,1.4,0.17,0.24,2.20,4.0,25.0,2020,rental operator,12.550,-7.900,TRUE,edm-sa,estimated,Emergency rental units contracted during the dry season
GEN_PV_KITA,Kita solar,BUS_KITA_33,solar,sun,50.0,1,50.0,0.0,1.00,55.0,1.00,0.0,0.00,0.00,0.00,0.0,50.0,2020,Akuo Energy,13.050,-9.490,TRUE,irena,reported,Utility-scale photovoltaic plant
GEN_PV_SEGOU,Segou solar (Pelengana),BUS_SEGOU_33,solar,sun,33.0,1,33.0,0.0,1.00,36.0,1.00,0.0,0.00,0.00,0.00,0.0,33.0,2021,Scatec,13.440,-6.260,TRUE,irena,reported,Utility-scale photovoltaic plant
GEN_PV_SAFO,Safo / Sanankoroba solar,BUS_KATI_225,solar,sun,200.0,1,200.0,0.0,1.00,220.0,1.00,0.0,0.00,0.00,0.00,0.0,200.0,2025,IPP,12.750,-8.070,FALSE,edm-sa,reported,Large photovoltaic project near Bamako; scenario asset out of service in the base case
GEN_PV_SIKASSO,Sikasso solar,BUS_SIKASSO_33,solar,sun,50.0,1,50.0,0.0,1.00,55.0,1.00,0.0,0.00,0.00,0.00,0.0,50.0,2026,IPP,11.320,-5.660,FALSE,edm-sa,estimated,Announced photovoltaic project; scenario asset
GEN_BESS_BKO,Bamako battery storage,BUS_SIRAKORO_33,storage,battery,50.0,1,50.0,-50.0,1.00,55.0,1.00,0.0,0.00,0.00,0.00,0.0,100.0,2026,scenario,12.550,-7.900,FALSE,engineering,estimated,Scenario asset used in the flexibility study; 4 hour energy
